2025-09-27 10:53:46.191 | INFO     | logger:success:103 | system | none - SUCCESS: Diretório de dados criado ou verificado com sucesso: D:\GithubGit\MeuPortfolio\plataforma_rifas\data
2025-09-27 10:53:48.025 | INFO     | logger:info:99 | system | none - Aplicação iniciada
2025-09-27 10:53:48.027 | DEBUG    | logger:debug:95 | system | none - index.json carregado com 3 rifas
2025-09-27 10:53:48.033 | DEBUG    | logger:debug:95 | system | none - Tabela 'users' criada ou verificada
2025-09-27 10:53:48.033 | DEBUG    | logger:debug:95 | system | none - Tabela 'login_attempts' criada ou verificada
2025-09-27 10:53:48.034 | DEBUG    | logger:debug:95 | system | none - Tabela 'rifas' criada ou verificada
2025-09-27 10:53:48.035 | DEBUG    | logger:debug:95 | system | none - Tabela 'vendas' criada ou verificada
2025-09-27 10:53:48.035 | DEBUG    | logger:debug:95 | system | none - Tabela 'reservas' criada ou verificada
2025-09-27 10:53:48.036 | DEBUG    | logger:debug:95 | system | none - Índices criados ou verificados
2025-09-27 10:53:48.036 | INFO     | logger:success:103 | system | none - SUCCESS: Tabelas e índices do banco de dados criados/verificados com sucesso
2025-09-27 10:53:48.036 | INFO     | logger:success:103 | system | none - SUCCESS: Conexão com banco de dados estabelecida com sucesso
2025-09-27 10:53:48.037 | DEBUG    | logger:debug:95 | system | none - Rifa Rifa solidaria  já existe no DB, pulando migração
2025-09-27 10:53:48.037 | DEBUG    | logger:debug:95 | system | none - Rifa teste2 já existe no DB, pulando migração
2025-09-27 10:53:48.038 | DEBUG    | logger:debug:95 | system | none - Rifa tste já existe no DB, pulando migração
2025-09-27 10:53:48.038 | INFO     | logger:success:103 | system | none - SUCCESS: Migração JSON→SQLite concluída
2025-09-27 10:53:48.039 | INFO     | logger:success:103 | system | none - SUCCESS: Migração JSON→SQLite executada com sucesso
2025-09-27 10:53:48.368 | DEBUG    | logger:debug:95 | system | none - Tabela 'users' criada ou verificada
2025-09-27 10:53:48.369 | DEBUG    | logger:debug:95 | system | none - Tabela 'login_attempts' criada ou verificada
2025-09-27 10:53:48.370 | DEBUG    | logger:debug:95 | system | none - Tabela 'rifas' criada ou verificada
2025-09-27 10:53:48.371 | DEBUG    | logger:debug:95 | system | none - Tabela 'vendas' criada ou verificada
2025-09-27 10:53:48.371 | DEBUG    | logger:debug:95 | system | none - Tabela 'reservas' criada ou verificada
2025-09-27 10:53:48.372 | DEBUG    | logger:debug:95 | system | none - Índices criados ou verificados
2025-09-27 10:53:48.372 | INFO     | logger:success:103 | system | none - SUCCESS: Tabelas e índices do banco de dados criados/verificados com sucesso
2025-09-27 10:53:48.373 | INFO     | logger:success:103 | system | none - SUCCESS: Conexão com banco de dados estabelecida com sucesso
2025-09-27 10:53:48.374 | DEBUG    | logger:debug:95 | system | none - Rifas listadas
2025-09-27 10:53:48.379 | INFO     | logger:info:99 | system | none - Nenhuma rifa selecionada, aplicação pausada
2025-09-27 10:54:33.636 | INFO     | logger:info:99 | system | none - Aplicação iniciada
2025-09-27 10:54:33.637 | DEBUG    | logger:debug:95 | system | none - index.json carregado com 3 rifas
2025-09-27 10:54:33.638 | DEBUG    | logger:debug:95 | system | none - Tabela 'users' criada ou verificada
2025-09-27 10:54:33.639 | DEBUG    | logger:debug:95 | system | none - Tabela 'login_attempts' criada ou verificada
2025-09-27 10:54:33.639 | DEBUG    | logger:debug:95 | system | none - Tabela 'rifas' criada ou verificada
2025-09-27 10:54:33.640 | DEBUG    | logger:debug:95 | system | none - Tabela 'vendas' criada ou verificada
2025-09-27 10:54:33.641 | DEBUG    | logger:debug:95 | system | none - Tabela 'reservas' criada ou verificada
2025-09-27 10:54:33.641 | DEBUG    | logger:debug:95 | system | none - Índices criados ou verificados
2025-09-27 10:54:33.641 | INFO     | logger:success:103 | system | none - SUCCESS: Tabelas e índices do banco de dados criados/verificados com sucesso
2025-09-27 10:54:33.642 | INFO     | logger:success:103 | system | none - SUCCESS: Conexão com banco de dados estabelecida com sucesso
2025-09-27 10:54:33.643 | DEBUG    | logger:debug:95 | system | none - Rifa Rifa solidaria  já existe no DB, pulando migração
2025-09-27 10:54:33.643 | DEBUG    | logger:debug:95 | system | none - Rifa teste2 já existe no DB, pulando migração
2025-09-27 10:54:33.644 | DEBUG    | logger:debug:95 | system | none - Rifa tste já existe no DB, pulando migração
2025-09-27 10:54:33.644 | INFO     | logger:success:103 | system | none - SUCCESS: Migração JSON→SQLite concluída
2025-09-27 10:54:33.645 | INFO     | logger:success:103 | system | none - SUCCESS: Migração JSON→SQLite executada com sucesso
2025-09-27 10:54:33.649 | DEBUG    | logger:debug:95 | system | none - Tabela 'users' criada ou verificada
2025-09-27 10:54:33.650 | DEBUG    | logger:debug:95 | system | none - Tabela 'login_attempts' criada ou verificada
2025-09-27 10:54:33.651 | DEBUG    | logger:debug:95 | system | none - Tabela 'rifas' criada ou verificada
2025-09-27 10:54:33.652 | DEBUG    | logger:debug:95 | system | none - Tabela 'vendas' criada ou verificada
2025-09-27 10:54:33.653 | DEBUG    | logger:debug:95 | system | none - Tabela 'reservas' criada ou verificada
2025-09-27 10:54:33.653 | DEBUG    | logger:debug:95 | system | none - Índices criados ou verificados
2025-09-27 10:54:33.653 | INFO     | logger:success:103 | system | none - SUCCESS: Tabelas e índices do banco de dados criados/verificados com sucesso
2025-09-27 10:54:33.653 | INFO     | logger:success:103 | system | none - SUCCESS: Conexão com banco de dados estabelecida com sucesso
2025-09-27 10:54:33.654 | DEBUG    | logger:debug:95 | system | none - Rifas listadas
2025-09-27 10:54:33.658 | INFO     | logger:info:99 | system | none - Nenhuma rifa selecionada, aplicação pausada
2025-09-27 10:54:36.923 | INFO     | logger:info:99 | system | none - Aplicação iniciada
2025-09-27 10:54:36.925 | DEBUG    | logger:debug:95 | system | none - index.json carregado com 3 rifas
2025-09-27 10:54:36.927 | DEBUG    | logger:debug:95 | system | none - Tabela 'users' criada ou verificada
2025-09-27 10:54:36.927 | DEBUG    | logger:debug:95 | system | none - Tabela 'login_attempts' criada ou verificada
2025-09-27 10:54:36.928 | DEBUG    | logger:debug:95 | system | none - Tabela 'rifas' criada ou verificada
2025-09-27 10:54:36.929 | DEBUG    | logger:debug:95 | system | none - Tabela 'vendas' criada ou verificada
2025-09-27 10:54:36.931 | DEBUG    | logger:debug:95 | system | none - Tabela 'reservas' criada ou verificada
2025-09-27 10:54:36.932 | DEBUG    | logger:debug:95 | system | none - Índices criados ou verificados
2025-09-27 10:54:36.932 | INFO     | logger:success:103 | system | none - SUCCESS: Tabelas e índices do banco de dados criados/verificados com sucesso
