2025-09-25 14:19:26.892 | INFO     | logger:success:103 | system | none - SUCCESS: Diretório de dados criado ou verificado com sucesso: D:\GithubGit\MeuPortfolio\plataforma_rifas\data
2025-09-25 14:19:26.894 | INFO     | logger:info:99 | system | none - Aplicação iniciada
2025-09-25 14:19:26.895 | INFO     | logger:info:99 | system | none - Aplicação iniciada
2025-09-25 14:19:26.898 | INFO     | logger:success:103 | system | none - SUCCESS: Tabelas e índices criados ou verificados com sucesso.
2025-09-25 14:19:26.898 | INFO     | logger:success:103 | system | none - SUCCESS: Conexão com banco de dados estabelecida com sucesso.
2025-09-25 14:19:26.900 | INFO     | logger:success:103 | system | none - SUCCESS: Tabelas e índices criados ou verificados com sucesso.
2025-09-25 14:19:26.901 | INFO     | logger:success:103 | system | none - SUCCESS: Conexão com banco de dados estabelecida com sucesso.
2025-09-25 14:19:26.906 | INFO     | modules.db_data_manager:migrate_from_json:109 | system | none - Migração JSON→SQLite concluída.
2025-09-25 14:19:26.906 | INFO     | logger:success:103 | system | none - SUCCESS: Migração JSON→SQLite executada com sucesso
2025-09-25 14:19:26.913 | INFO     | logger:success:103 | system | none - SUCCESS: Tabelas e índices criados ou verificados com sucesso.
2025-09-25 14:19:26.914 | INFO     | logger:success:103 | system | none - SUCCESS: Conexão com banco de dados estabelecida com sucesso.
2025-09-25 14:19:26.919 | INFO     | logger:info:99 | system | none - Nenhuma rifa selecionada, aplicação pausada
2025-09-25 14:19:27.012 | INFO     | modules.db_data_manager:migrate_from_json:109 | system | none - Migração JSON→SQLite concluída.
2025-09-25 14:19:27.013 | INFO     | logger:success:103 | system | none - SUCCESS: Migração JSON→SQLite executada com sucesso
2025-09-25 14:19:27.019 | INFO     | logger:success:103 | system | none - SUCCESS: Tabelas e índices criados ou verificados com sucesso.
2025-09-25 14:19:27.020 | INFO     | logger:success:103 | system | none - SUCCESS: Conexão com banco de dados estabelecida com sucesso.
2025-09-25 14:19:27.029 | INFO     | logger:success:103 | system | none - SUCCESS: Tabelas e índices criados ou verificados com sucesso.
2025-09-25 14:19:27.030 | INFO     | logger:success:103 | system | none - SUCCESS: Conexão com banco de dados estabelecida com sucesso.
2025-09-25 14:19:27.035 | INFO     | logger:success:103 | system | none - SUCCESS: Tabelas e índices criados ou verificados com sucesso.
2025-09-25 14:19:27.036 | INFO     | logger:success:103 | system | none - SUCCESS: Conexão com banco de dados estabelecida com sucesso.
2025-09-25 14:19:27.041 | INFO     | logger:success:103 | system | none - SUCCESS: Tabelas e índices criados ou verificados com sucesso.
2025-09-25 14:19:27.042 | INFO     | logger:success:103 | system | none - SUCCESS: Conexão com banco de dados estabelecida com sucesso.
2025-09-25 14:19:27.043 | DEBUG    | logger:debug:95 | system | none - Dados da rifa Rifa solidaria  carregados
2025-09-25 14:19:27.057 | INFO     | logger:success:103 | system | none - SUCCESS: Tabelas e índices criados ou verificados com sucesso.
2025-09-25 14:19:27.058 | INFO     | logger:success:103 | system | none - SUCCESS: Conexão com banco de dados estabelecida com sucesso.
2025-09-25 14:19:27.064 | INFO     | logger:success:103 | system | none - SUCCESS: Tabelas e índices criados ou verificados com sucesso.
2025-09-25 14:19:27.066 | INFO     | logger:success:103 | system | none - SUCCESS: Conexão com banco de dados estabelecida com sucesso.
